epoch,accuracy,loss,val_accuracy,val_loss
0,0.7731578946113586,0.556733250617981,0.7996109127998352,0.6687414050102234
1,0.8956140279769897,0.2880261540412903,0.8725680708885193,0.46358054876327515
2,0.9264912009239197,0.2089117467403412,0.9105058312416077,0.2855062186717987
3,0.9415789246559143,0.15659846365451813,0.9231517314910889,0.217656672000885
4,0.9571929574012756,0.12249419838190079,0.9260700345039368,0.21801438927650452
5,0.9621052742004395,0.10328690707683563,0.9250972867012024,0.1861831694841385
6,0.9659649133682251,0.09874975681304932,0.9260700345039368,0.22363875806331635
7,0.9763157963752747,0.06826216727495193,0.9153696298599243,0.2872135639190674
8,0.9780701994895935,0.0634736642241478,0.9280155897140503,0.22817519307136536
9,0.9847368597984314,0.04581912234425545,0.924124538898468,0.23115119338035583
10,0.9861403703689575,0.04098811745643616,0.9280155897140503,0.26535698771476746
11,0.9914035201072693,0.028083372861146927,0.929961085319519,0.23678268492221832
12,0.991754412651062,0.026095423847436905,0.9445525407791138,0.2459506243467331
13,0.9970175623893738,0.012857388705015182,0.9338521361351013,0.2553885281085968
14,0.9989473819732666,0.008316182531416416,0.9367704391479492,0.27585849165916443
