epoch,accuracy,loss,val_accuracy,val_loss
0,0.7759649157524109,0.5479087233543396,0.7821011543273926,0.6301245093345642
1,0.8954386115074158,0.2720988094806671,0.8929961323738098,0.4022265374660492
2,0.9187719225883484,0.20671722292900085,0.9221789836883545,0.2703646123409271
3,0.9431579113006592,0.14911137521266937,0.9173151850700378,0.20755159854888916
4,0.9515789747238159,0.12772756814956665,0.9143968820571899,0.23401600122451782
5,0.9622806906700134,0.1023717075586319,0.9250972867012024,0.2094997763633728
6,0.9696491360664368,0.08148103207349777,0.9396887421607971,0.16853290796279907
7,0.964561402797699,0.08987629413604736,0.9367704391479492,0.18527965247631073
8,0.9791228175163269,0.05712202191352844,0.9319066405296326,0.19306781888008118
9,0.9829824566841125,0.049772344529628754,0.9231517314910889,0.22592230141162872
10,0.9861403703689575,0.03785998001694679,0.9416342377662659,0.1889810413122177
11,0.9901754260063171,0.03134431689977646,0.9289883375167847,0.21964919567108154
12,0.9942105412483215,0.018822740763425827,0.9455252885818481,0.20026761293411255
13,0.996842086315155,0.012908420525491238,0.938715934753418,0.21015815436840057
14,0.9984210729598999,0.010424711741507053,0.9445525407791138,0.19625084102153778
15,0.9989473819732666,0.006446219980716705,0.9367704391479492,0.22640155255794525
16,0.9992982745170593,0.005025687627494335,0.9494163393974304,0.1927276998758316
17,0.999824583530426,0.003002563025802374,0.9435797929763794,0.22388955950737
18,0.999824583530426,0.0019932223949581385,0.9503890872001648,0.21095432341098785
19,0.999824583530426,0.00174814707133919,0.9494163393974304,0.20674866437911987
20,0.9994736909866333,0.003062002593651414,0.9406614899635315,0.24201750755310059
21,0.9821052551269531,0.04827522113919258,0.9250972867012024,0.2897254526615143
22,0.9573684334754944,0.11951655894517899,0.9328793883323669,0.2633475065231323
23,0.9736841917037964,0.07914156466722488,0.9163424372673035,0.2855975329875946
24,0.9875438809394836,0.03196771815419197,0.9406614899635315,0.20672859251499176
