epoch,accuracy,loss,val_accuracy,val_loss
0,0.7357894778251648,0.5936949849128723,0.768482506275177,0.5980414748191833
1,0.895087718963623,0.2711026966571808,0.868677020072937,0.3623851239681244
2,0.9271929860115051,0.19691449403762817,0.9007782340049744,0.2565014064311981
3,0.945263147354126,0.1465761810541153,0.929961085319519,0.18471433222293854
4,0.9536842107772827,0.12586912512779236,0.9192606806755066,0.1964237540960312
5,0.9617543816566467,0.09925279766321182,0.9406614899635315,0.1488822102546692
6,0.9666666388511658,0.08586075901985168,0.9357976913452148,0.170230895280838
7,0.9691228270530701,0.07458534091711044,0.9416342377662659,0.15339279174804688
8,0.9770175218582153,0.057854823768138885,0.9338521361351013,0.15576323866844177
9,0.9782456159591675,0.05523837357759476,0.929961085319519,0.19208894670009613
10,0.9485964775085449,0.1305565983057022,0.9134241342544556,0.22652901709079742
11,0.9698245525360107,0.07430069148540497,0.9426069855690002,0.16542653739452362
12,0.9745613932609558,0.06029936298727989,0.9406614899635315,0.14982393383979797
13,0.9814035296440125,0.045390866696834564,0.951361894607544,0.13427838683128357
14,0.9843859672546387,0.03628719225525856,0.9435797929763794,0.16931942105293274
15,0.9854385852813721,0.03404001519083977,0.9503890872001648,0.1545220911502838
16,0.9836841821670532,0.039268478751182556,0.9494163393974304,0.1867685616016388
17,0.9819298386573792,0.043697748333215714,0.9455252885818481,0.18183168768882751
18,0.9796491265296936,0.04663896933197975,0.9416342377662659,0.18831154704093933
19,0.9821052551269531,0.0437280647456646,0.9503890872001648,0.1690002977848053
20,0.9880701899528503,0.02832784876227379,0.9367704391479492,0.27548694610595703
21,0.9900000095367432,0.026768170297145844,0.9406614899635315,0.234959676861763
22,0.9935087561607361,0.01902601681649685,0.929961085319519,0.2940120995044708
23,0.9915789365768433,0.02500099129974842,0.9503890872001648,0.19594042003154755
24,0.9945613741874695,0.015362934209406376,0.9474708437919617,0.18905892968177795
